序号,,,,,,100分,80-99分,60-79分,60分一下,平均分
1,您对医院护士执业环境的总体评价,,,,,,,,,
2,护士有机会参与医院内部管理,,,,,,,,,
3,护士能及时书写护理记录,,,,,,,,,
4,护士在护理工作中使用护理程序,,,,,,,,,
5,护理部领导平易近人,,,,,,,,,
6,各级护士工作职责清晰,,,,,,,,,
7,护士有机会参与医院管理决策,,,,,,,,,
8,医院职能管理部门能够支持护士工作,,,,,,,,,
9,护士长是一位优秀的管理者和领导者,,,,,,,,,
10,科室的医生和护士工作关系融洽,,,,,,,,,
11,当护士圆满完成工作时能获得鼓励和认可,,,,,,,,,
12,医院积极实施护士岗位培训和继续教育计划,,,,,,,,,
13,工作时有可遵循的标准的规章与流程,,,,,,,,,
14,护理管理者支持护士的正确决策,,,,,,,,,
15,医院管理部门期望各护理单元为患者提供高标准的护理服务,,,,,,,,,
16,护理单元的护士配置能够满足临床护理工作需要,,,,,,,,,
17,工作团队中的护士能够胜任护理工作,,,,,,,,,
18,现有的工作时长与强度合适,,,,,,,,,
19,护士排班能够体现能级搭配,,,,,,,,,
20,护士工作能够得到社会的认可,,,,,,,,,
21,护理团队有足够的时间和机会讨论患者的护理问题,,,,,,,,,
22,通常情况下，科室骨干护士不会被频繁调动,,,,,,,,,
23,医院护理用具的配备有利于提高护理工作效率,,,,,,,,,
24,科室的医生护士能够各司其职、协调工作,,,,,,,,,
25,护理管理者会与护士商讨日常的工作问题,,,,,,,,,
26,护士有进修学习的机会或参加国内外学术活动/会议的机会,,,,,,,,,
27,医院实行有益于对患者连续护理的患者分管方式,,,,,,,,,
28,在工作中能够感受到患者对护士的信任与尊重,,,,,,,,,
29,临床支持系统让护士有更多的时间护理患者,,,,,,,,,
30,医院有清晰的护士职业发展路径或职称晋升体系,,,,,,,,,
31,护士犯错误时，护理管理者更注重对其进行指导改进，而非一味地批评,,,,,,,,,
32,医院的薪酬分配制度合理,,,,,,,,,
33,护士在工作中能获得相应的职业防护,,,,,,,,,
34,护士有机会成为医院或护理委员会的一员,,,,,,,,,
35,护士薪酬在社会各行业所处水平合适,,,,,,,,,
36,医院积极使用护理质量管理系统，促进质量持续改进,,,,,,,,,
37,医院对新进护士有指导培训计划,,,,,,,,,
38,医院有清晰的护士职业暴露后支持系统,,,,,,,,,
39,医院的临床护理服务能够充分体现护理的专业性,,,,,,,,,
40,护士能享受法定福利待遇（如：法定节假日轮休或加班补贴、假期、保险等）,,,,,,,,,
